time,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10
315.000000000001,5.501,4.4473,5.3712,6.0154,4.2747,4.2745,3.5227,4.363,3.1272,5.3148
316.80000000000103,5.9106,4.7713,5.7529,6.4123,4.6117,4.5638,3.7686,4.7558,3.3506,5.6642
318.60000000000105,6.3507,2.4897,6.1618,6.8354,4.9752,4.8726,4.0318,5.184,3.59,6.0365
320.40000000000106,6.8235,2.6826,6.5997,3.5418,5.3673,5.2023,4.3133,2.7346,3.8466,3.1315
322.20000000000107,3.6766,2.8905,7.0688,3.7929,2.7791,5.5544,4.6145,2.9146,1.987,3.3438
324.0000000000011,3.9463,3.1144,3.7854,4.0618,2.977,5.9302,4.9367,3.1063,2.1599,3.5704
325.8000000000011,4.2358,3.3556,4.0518,4.3498,3.1891,6.3315,5.2814,3.3107,2.3478,3.8124
327.6000000000011,4.5464,3.6156,4.3368,4.6582,3.4162,6.76,5.6502,3.5285,2.5521,4.0708
329.4000000000011,4.8799,3.8957,4.6419,4.9885,3.6595,3.4821,6.0447,3.7607,2.7742,4.3467
331.2000000000011,5.2379,4.1975,4.9685,5.3422,3.9202,3.7255,6.4668,4.0081,3.0156,4.6413
333.00000000000114,5.6221,4.5227,5.318,5.721,4.1994,3.986,6.9183,4.2718,3.2779,4.9559
334.80000000000115,6.0344,4.873,5.6922,6.1266,4.4985,4.2648,3.5647,4.5529,3.5632,5.2918
336.60000000000116,6.4771,5.2506,6.0926,3.4108,4.8189,4.5629,3.7861,4.8524,3.8732,2.6575
338.40000000000117,3.4972,2.6818,6.5213,3.6267,2.5252,4.882,4.0212,2.6352,4.2102,2.8493
340.2000000000012,3.801,2.8609,3.3474,3.8562,2.6931,5.2234,4.271,2.8311,4.5766,3.0549
342.0000000000012,4.1313,3.0519,3.6222,4.1002,2.8721,5.5886,4.5363,3.0415,4.9748,3.2754
343.8000000000012,4.4903,3.2556,3.9197,4.3596,3.0631,5.9793,4.818,3.2676,2.8536,3.5118
345.6000000000012,4.8805,3.4729,4.2416,4.6355,3.2668,6.3974,5.1173,3.5105,3.0877,3.7652
347.4000000000012,5.3045,3.7048,4.5898,4.9288,3.484,6.8447,2.5568,3.7715,3.341,4.037
349.20000000000124,5.7655,3.9521,4.9667,5.2407,3.7156,3.7147,2.7332,4.0518,3.6151,4.3284
351.00000000000125,6.2664,4.216,2.6097,5.5723,3.9627,3.9456,2.9218,4.353,3.9117,4.6407
352.80000000000126,6.8109,4.4974,2.799,5.9249,4.2261,4.1909,3.1234,4.6766,4.2326,4.9757
354.6000000000013,7.4028,4.7976,3.002,6.2999,4.5071,4.4514,3.339,5.0243,4.5798,5.3348
356.4000000000013,8.046,2.5301,3.2197,6.6985,4.8068,4.728,3.5694,5.3977,4.9555,2.7677
358.2000000000013,8.7451,2.7105,3.4533,7.1224,5.1264,5.0219,3.8156,3.0135,5.362,2.9484
360.0000000000013,9.505,2.9039,3.7037,7.573,5.4673,5.3341,4.0789,3.2342,2.904,3.1409
361.8000000000013,5.168,3.111,3.9723,8.0523,2.9155,5.6656,4.3604,3.471,3.1269,3.346
363.60000000000133,5.4605,3.3328,4.2604,8.5618,3.1051,6.0178,4.6612,3.7251,3.3669,3.5645
365.40000000000134,5.7694,3.5705,4.5694,4.5831,3.307,6.3918,4.9829,3.9979,3.6253,3.7972
367.20000000000135,6.0959,3.8252,4.9008,4.89,3.522,6.7891,5.3267,4.2906,3.9035,4.0451
369.00000000000136,6.4408,4.098,5.2563,5.2174,3.751,7.2111,5.6942,4.6048,4.2031,4.3092
370.8000000000014,6.8053,4.3902,5.6375,5.5668,1.9519,7.6594,2.8844,4.9419,4.5257,4.5905
372.6000000000014,7.1904,4.7033,6.0464,5.9396,2.0862,3.9716,3.0754,5.3038,2.5152,4.8903
374.4000000000014,7.5972,2.361,3.3665,6.3373,2.2296,4.3505,3.279,5.6921,2.6721,2.6273
376.2000000000014,8.0271,2.5562,3.6578,6.7617,2.383,4.7655,3.496,6.1089,2.8388,2.8082
378.0000000000014,8.4813,2.7674,3.9742,7.2144,2.5469,5.2201,3.7275,6.5562,3.0159,3.0015
379.80000000000143,4.8255,2.9962,4.3181,3.8179,2.722,5.718,3.9743,3.5658,3.2041,3.2081
381.60000000000144,5.1935,3.2438,4.6916,4.0916,2.9092,6.2634,4.2374,3.8228,3.404,3.4289
383.40000000000146,5.5897,3.5119,5.0975,4.385,3.1093,6.8609,4.5179,4.0984,3.6164,3.665
385.20000000000147,6.016,3.8022,5.5386,4.6994,3.3232,7.5154,4.817,4.3938,3.842,3.9173
387.0000000000015,3.2555,4.1164,6.0177,5.0363,3.5517,8.2322,2.6158,4.7104,4.0817,4.1869
388.8000000000015,3.505,4.4566,3.4277,5.3974,3.796,4.543,2.8232,5.05,4.3364,2.1402
